zpid,street,zipcode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,totalRooms,lastSoldDate,lastSoldPrice,zest,zestlow,zesthigh,percentile,zindexValue,numFloors,roof,exteriorMaterial,parkingType,heatingSources,heatingSystem,coolingSystem,floorCovering,architecture,basement,coveredParkingSpaces,adjLastSoldPrice,adjTaxAssessment,medianUSpriceAssessmentYear,medianUSpriceLastSoldDate,medianUSpriceThisYear
73608328,1420 Christy Ave,40204,2013,122e3,1890,2613,1283,1,2,5,2017-01-19,158500,167547,159170,175924,59,183200,1,Asphalt,Wood,On-street,Gas,Forced air,Central,Laminate,Other,NA,NA,150957.17005076143,138157.8401379149,265091,315200,300200
73667798,1112 Julia Ave,40204,2013,67660,1925,4199,1300,2,3,NA,2017-10-13,24e4,233665,221982,245348,71,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76620.97921091248,265091,NA,300200
73607038,920 Vine St,40204,2013,84900,2017,3049,1650,2,3,5,2017-10-25,25e4,264456,243300,277679,77,122600,NA,Shake / Shingle,Other,NA,Gas,Forced air,Central,Other,Other,NA,NA,NA,96144.26744023751,265091,NA,300200
73455029,1033 Baxter Ave,40204,2013,156500,1912,4356,1796,2,3,NA,2016-11-02,165e3,213481,192133,239099,67,298800,2,Shake / Shingle,Wood,NA,NA,Other,Central,NA,Other,Finished,NA,157247.61904761905,177227.06542281708,265091,315e3,300200
73457380,1045 Baxter Ave,40204,2013,205680,1910,2505,1590,2,2,NA,2017-09-01,244e3,244429,232208,256650,73,298800,2,Shake / Shingle,Wood,Off-street,Electric,Other,Central,Other,Other,Unfinished,NA,NA,232920.52917677327,265091,NA,300200
73575297,601 Rubel Ave,40204,2013,74770,1900,3049,1431,3,2,5,2017-07-25,325025,284429,250298,335626,80,112900,NA,Shake / Shingle,Other,NA,Gas,Forced air,Central,Other,Contemporary,NA,NA,305009.39356048766,84672.63694354014,265091,319900,300200
73575531,1010 Rogers St,40204,2013,63550,1900,3049,1360,2,3,5,2017-03-16,16e4,172474,156951,191446,60,112900,NA,Shake / Shingle,Vinyl,Off-street,None,Forced air,Central,Other,Other,NA,NA,149306.80758470626,71966.6454161024,265091,321700,300200
73588172,810 Goullon Ct,40204,2013,136e3,1996,4356,1230,2,3,6,2017-02-06,17e4,175836,167044,184628,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171255.033557047,154012.01851439694,265091,298e3,300200
73588264,1437 Christy Ave,40204,2013,163e3,1900,2518,1587,2,2,NA,2016-12-05,13e4,201478,177301,229685,65,183200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119345.56574923548,184587.93395475516,265091,327e3,300200
73588550,1095 E Kentucky St,40204,2013,86e3,1900,3484,1310,2,3,5,2017-02-22,189900,195283,183566,205047,65,122600,2,Shake / Shingle,Other,Off-street,NA,Forced air,Central,"Hardwood, Tile",Other,None,NA,191301.94630872482,97389.95288410396,265091,298e3,300200
73588762,1051 Highland Ave,40204,2013,89260,1925,5227,2410,2,4,NA,2016-11-16,185e3,194297,184582,204012,64,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176307.9365079365,101081.71156319906,265091,315e3,300200
73588803,951 Vine St,40204,2013,130610,1997,1664,1596,2,3,5,2017-10-03,155e3,190628,181097,200159,64,122600,2,Shake / Shingle,Vinyl,NA,Gas,Forced air,Central,"Carpet, Tile",NA,NA,NA,NA,147908.15983945137,265091,NA,300200
73588971,1035 E Caldwell St,40204,2013,5e4,1900,3920,1142,1,2,NA,2017-08-08,172e3,172951,164303,181599,60,122600,NA,Composition,NA,NA,Gas,Forced air,NA,NA,NA,NA,NA,172e3,56622.06563029299,265091,300200,300200
73588976,1078 E Kentucky St,40204,2013,81230,1907,6534,1300,2,2,NA,2017-10-10,207e3,200966,190918,211014,65,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91988.207822974,265091,NA,300200
73590952,1113 Julia Ave,40204,2013,76770,1925,5336,864,1,1,NA,2017-03-29,13e4,157425,149554,174742,57,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121311.78116257384,86937.51956875186,265091,321700,300200
73591658,507 Baxter Ave,40204,2013,123e3,1900,3920,990,1,2,5,2016-11-03,162e3,163198,153406,171358,58,NA,1,Shake / Shingle,Vinyl,Garage - Detached,Gas,Forced air,Central,Hardwood,Other,NA,1,154388.57142857142,139290.28145052076,265091,315e3,300200
73591669,1129 Rogers St,40204,2013,13e4,1884,3484,904,1,2,5,2017-08-08,159e3,159197,151237,167157,58,NA,NA,Metal,Vinyl,Off-street,None,Forced air,Central,Other,Other,NA,NA,159e3,147217.3706387618,265091,300200,300200
73591875,606 Rubel Ave,40204,2013,101e3,1900,3920,1045,1,2,NA,2017-02-10,144900,149862,142369,157355,55,112900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145969.73154362416,114376.57257319185,265091,298e3,300200
73592012,1410 Christy Ave,40204,2013,165e3,1900,2004,1424,2,3,5,2017-08-01,219500,221800,210710,232890,69,183200,2,Shake / Shingle,Vinyl,On-street,"Electric, Gas",Other,Central,Hardwood,Craftsman,Unfinished,NA,219500,186852.8165799669,265091,300200,300200
73592036,1522 Christy Ave,40204,2013,134500,1900,2178,1074,1,2,NA,2016-12-19,153e3,162293,154178,170408,58,183200,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,140460.5504587156,152313.35654548815,265091,327e3,300200
73592051,1303 Highland Ave,40204,2013,142450,1889,3049,1764,1.5,3,NA,2017-07-24,236e3,238179,226270,250088,72,183200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221466.70834635824,161316.26498070476,265091,319900,300200
73592390,1423 Rufer Ave,40204,2013,175e3,2001,6969,1696,2,4,6,2016-12-08,226900,237417,225546,249288,72,298800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208303.9143730887,198177.22970602548,265091,327e3,300200
73600358,1513 Christy Ave,40204,2013,96840,1900,2178,1335,2,2,NA,2017-05-26,227e3,230014,218513,241515,71,183200,NA,NA,NA,NA,NA,NA,NA,Hardwood,NA,NA,NA,210585.29048207664,109665.61671275148,265091,323600,300200
73600400,1067 E Kentucky St,40204,2013,84720,1905,5227,1746,2,2,NA,2017-08-03,195e3,196525,186699,206351,65,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195e3,95940.42800396845,265091,300200,300200
73600520,986 Vine St,40204,2013,92500,1925,3484,865,1.5,2,4,2016-11-23,149500,156011,148210,163812,57,122600,NA,Shake / Shingle,Vinyl,Off-street,Gas,Forced air,Central,Other,Other,NA,NA,142475.87301587302,104750.82141604205,265091,315e3,300200
73600521,1089 E Kentucky St,40204,2013,65450,1900,4356,1200,2,2,NA,2017-04-24,19e4,187145,177788,196502,63,122600,1,Shake / Shingle,Other,Garage - Detached,NA,Other,Central,"Hardwood, Tile",Other,NA,NA,183342.97653487624,74118.28391005353,265091,311100,300200
73607049,1066 Highland Ave,40204,2013,129500,1937,6098,1390,1,2,NA,2017-10-24,172500,175466,166693,184239,61,122600,NA,NA,NA,Off-street,Gas,Forced air,Central,"Hardwood, Tile",NA,Partially finished,NA,NA,146651.14998245885,265091,NA,300200
73575292,1127 Rogers St,40204,2013,123500,1884,3484,1200,1,2,6,2017-09-29,168e3,166974,158625,175323,59,NA,1,Metal,Metal,"Garage - Detached, Off-street",Gas,Forced air,Central,Hardwood,Other,Unfinished,1,NA,139856.5021068237,265091,NA,300200
73465283,1600 Ellwood Ave,40204,2013,155e3,1900,3049,1301,2,3,7,2016-11-23,181500,198915,186980,208861,65,298800,NA,Shake / Shingle,Vinyl,Off-street,Gas,Other,Central,Other,Other,NA,NA,172972.38095238095,175528.40345390828,265091,315e3,300200
73590784,1130 Fischer Ave,40204,2013,62240,1900,5227,1492,2,3,4,2017-09-12,23e4,230247,218735,241759,71,122600,NA,Shake / Shingle,Vinyl,NA,Gas,Forced air,Central,Other,Other,NA,NA,NA,70483.14729658872,265091,NA,300200
73590801,1044 Mary St,40204,2013,28e3,1900,2613,1285,2,2,NA,2016-12-19,159900,174258,163803,188199,60,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146795.04587155965,31708.35675296408,265091,327e3,300200
73590912,1037 Mary St,40204,2013,82e3,1999,3920,1056,2,3,5,2017-07-05,16e4,161780,153691,169869,58,122600,NA,Shake / Shingle,Vinyl,Off-street,Gas,Other,Central,Other,Other,NA,NA,150146.92091278525,92860.18763368051,265091,319900,300200
73590917,1045 Mary St,40204,2013,54240,1890,3484,1548,2,3,5,2017-09-08,21e4,221102,210047,236579,69,122600,2,Composition,Vinyl,On-street,Electric,Heat pump,Central,"Hardwood, Tile",NA,None,NA,NA,61423.616795741844,265091,NA,300200
73592368,1419 Goddard Ave,40204,2013,179e3,1923,6098,1747,2,3,6,2017-05-15,2e5,216508,199187,229498,68,298800,NA,Shake / Shingle,Vinyl,NA,Gas,Other,Central,Other,Other,NA,NA,185537.70086526577,202706.9949564489,265091,323600,300200
73600690,1111 E Saint Catherine St,40204,2013,71930,1900,3920,876,1,2,6,2017-03-16,119e3,122664,116531,128797,44,122600,NA,Shake / Shingle,Vinyl,Off-street,Gas,Forced air,Central,Other,Other,NA,NA,111046.93814112528,81456.50361573951,265091,321700,300200
73601816,1116 Charles St,40204,2013,155900,1925,4734,1257,2,3,7,2017-08-08,23e4,224737,213500,235974,70,122600,NA,Shake / Shingle,Vinyl,"None, Off-street",Gas,Forced air,Central,Other,Other,NA,NA,23e4,176547.60063525356,265091,300200,300200
73601844,1248 Schiller Ave,40204,2013,95e3,1951,5e3,850,1,2,6,2017-07-10,121e3,124687,118453,133415,45,122600,1,Shake / Shingle,"Brick, Wood",Garage - Detached,Gas,"Forced air, Heat pump, Other",Central,Other,NA,NA,2,113548.60894029384,107581.9246975567,265091,319900,300200
73601946,1136 Fischer Ave,40204,2013,91650,1920,3920,1240,1,2,6,2017-03-23,155e3,172240,160183,180852,60,122600,NA,Shake / Shingle,Vinyl,Off-street,Gas,Forced air,Central,Other,Other,NA,NA,144640.96984768417,103788.24630032705,265091,321700,300200
73602053,1235 Rufer Ave,40204,2013,148e3,1925,3484,1095,1,2,NA,2017-05-09,181e3,185041,175789,194293,63,122600,NA,NA,NA,"Off-street, On-street",NA,Forced air,Central,Hardwood,NA,NA,NA,167911.61928306552,167601.31426566726,265091,323600,300200
73603077,1317 Hepburn Ave,40204,2013,219450,1900,6020,2700,4,4,11,2017-08-11,15e4,387432,348689,410678,90,183200,2,Asphalt,Other,"Garage - Attached, Garage - Detached",Gas,Forced air,Central,Other,Other,NA,2,15e4,248514.24605135596,265091,300200,300200
73588510,1002 Highland Ave,40204,2013,75e3,1910,4791,1025,1,2,4,2017-04-28,179e3,182280,173166,191394,62,122600,NA,Shake / Shingle,Other,NA,Gas,Forced air,Central,Other,Other,NA,NA,172728.3831565413,84933.0984454395,265091,311100,300200
73588809,945 E Saint Catherine St,40204,2013,145250,1900,7405,1828,2,4,NA,2017-08-31,145e3,153116,145460,163834,56,122600,NA,Composition,NA,NA,Gas,Forced air,NA,NA,Other,NA,NA,145e3,164487.10065600116,265091,300200,300200
73590820,1027 Mary St,40204,2013,46160,1890,3768,928,1,3,5,2017-04-25,171e3,174444,165722,183166,61,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165008.67888138862,52273.49098988649,265091,311100,300200
73591855,1306 Highland Ave,40204,2013,33e4,1900,3484,2636,3,5,9,2017-06-20,36e4,364216,346005,382427,88,183200,3,Shake / Shingle,Vinyl,Off-street,Gas,Forced air,Central,"Carpet, Hardwood, Tile",Other,Unfinished,NA,341675.62440720835,373705.6331599338,265091,316300,300200
73600347,776 Logan St,40204,2013,76840,1900,3484,2176,2,3,10,2016-11-27,169900,178101,167415,187006,61,87400,NA,Shake / Shingle,Vinyl,Off-street,None,Forced air,Central,Other,Other,NA,NA,161917.39682539683,87016.79046063428,265091,315e3,300200
73455048,2226 Patterson Ave,40204,2013,177e3,1910,3049,1937,3,3,7,2017-06-01,38e4,378396,351908,397316,89,374300,NA,Shake / Shingle,Other,Off-street,"Electric, Gas",Forced air,Central,Other,Other,NA,NA,360657.60354094213,200442.1123312372,265091,316300,300200
73455118,2232 Grinstead Dr,40204,2013,113850,1915,4791,2054,2.5,4,NA,2017-01-26,185e3,228079,200710,269133,70,374300,NA,NA,NA,Off-street,NA,Forced air,Central,Hardwood,NA,NA,NA,176196.06598984773,128928.44344017714,265091,315200,300200
73455139,1623 Rosewood Ave,40204,2013,243e3,1900,4356,1998,2.5,3,3,2017-07-07,319e3,327246,310884,343608,85,298800,2,Shake / Shingle,"Wood, Vinyl",Off-street,Gas,Other,Central,Hardwood,Queen Anne / Victorian,Unfinished,2,299355.4235698656,275183.23896322394,265091,319900,300200
73457427,1701 Rosewood Ave,40204,2013,181180,1910,4356,1868,2,3,NA,2016-11-18,25e4,270507,256982,284032,78,298800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238253.96825396825,205175.7170179297,265091,315e3,300200
73457739,2206 Grinstead Dr,40204,2013,15e4,1900,2492,1759,2,2,NA,2016-11-22,22e4,229658,199802,241141,71,374300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209663.49206349204,169866.196890879,265091,315e3,300200
73465241,2216 Patterson Ave,40204,2013,196810,1906,3920,2016,2,3,NA,2017-09-05,217500,256822,223435,285072,75,374300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222875.7747339593,265091,NA,300200
73465591,1601 Lucia Ave,40204,2013,169500,1900,5148,2911,2,4,10,2017-06-22,315e3,324462,308239,340685,85,298800,3,Asphalt,Vinyl,Off-street,Gas,Forced air,Central,"Carpet, Hardwood, Tile",Colonial,Unfinished,NA,298966.1713563073,191948.80248669325,265091,316300,300200
73465596,1140 Everett Ave,40204,2013,267e3,1900,8215,1743,2,3,NA,2017-08-03,3e5,300834,279776,315876,82,374300,NA,Shake / Shingle,NA,NA,NA,Forced air,NA,NA,Other,NA,NA,3e5,302361.83046576456,265091,300200,300200
73602868,1330 Christy Ave,40204,2013,84520,1900,2578,1173,1,2,NA,2017-03-16,199e3,187240,176006,205964,63,183200,1,"Shake / Shingle, Other",Vinyl,Off-street,Electric,Forced air,Central,"Hardwood, Tile",Other,NA,1,185700.3419334784,95713.93974144728,265091,321700,300200
73602894,1422 Christy Ave,40204,2013,95e3,1900,3154,1953,2,3,NA,2017-08-07,235e3,238153,226245,261968,72,183200,3,"Asphalt, Shake / Shingle",Metal,Garage - Detached,"Electric, Gas",Forced air,Central,"Hardwood, Laminate",Other,None,1,235e3,107581.9246975567,265091,300200,300200
73602901,1440 Christy Ave,40204,2013,181500,1900,3049,1648,2,2,8,2016-12-01,237e3,227638,216256,239020,70,183200,2,Metal,Wood,On-street,Gas,Forced air,Other,Other,Other,NA,NA,217576.14678899082,205538.09823796357,265091,327e3,300200
73602971,1518 Highland Ave,40204,2013,124700,1900,6965,1274,1,1,NA,2016-12-21,215e3,223507,207862,234682,70,183200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379.20489296637,141215.43168195072,265091,327e3,300200
